stamptime;link_number;link
18:16:17.429535000;108;0000000000000062-2<-->00:00:00:00:00:61-33
18:16:17.648735000;189;0000000000000056-3<-->00:00:00:00:00:57-32
18:16:17.649014000;191;0000000000000010-2<-->00:00:00:00:00:0f-33
18:16:16.912790000;30;000000000000003a-3<-->00:00:00:00:00:3b-32
18:16:17.556071000;133;0000000000000023-3<-->00:00:00:00:00:24-32
18:16:17.419781000;101;000000000000000e-2<-->00:00:00:00:00:0d-33
18:16:17.499701000;128;0000000000000062-2<-->00:00:00:00:00:61-33
18:16:17.555840000;131;000000000000001c-2<-->00:00:00:00:00:1b-33
18:16:17.356765000;83;0000000000000050-3<-->00:00:00:00:00:51-32
18:16:17.425610000;104;000000000000004b-2<-->00:00:00:00:00:4a-33
18:16:17.140303000;35;0000000000000028-3<-->00:00:00:00:00:29-32
18:16:17.354497000;81;000000000000000c-3<-->00:00:00:00:00:0d-32
18:16:17.648622000;188;0000000000000017-2<-->00:00:00:00:00:16-33
18:16:16.393803000;16;000000000000003c-3<-->00:00:00:00:00:3d-32
18:16:17.559049000;146;000000000000000d-2<-->00:00:00:00:00:0c-33
18:16:17.416451000;98;0000000000000048-2<-->00:00:00:00:00:47-33
18:16:16.272502000;3;0000000000000021-2<-->00:00:00:00:00:20-33
18:16:17.283989000;63;0000000000000026-2<-->00:00:00:00:00:25-33
18:16:17.636778000;160;0000000000000056-3<-->00:00:00:00:00:57-32
18:16:17.649511000;196;000000000000000a-3<-->00:00:00:00:00:0b-32
18:16:17.224790000;58;000000000000003f-2<-->00:00:00:00:00:3e-33
18:16:17.486152000;112;000000000000001c-2<-->00:00:00:00:00:1b-33
18:16:17.646694000;179;000000000000002c-2<-->00:00:00:00:00:2b-33
18:16:17.622184000;154;0000000000000023-2<-->00:00:00:00:00:22-33
18:16:17.649652000;197;000000000000001f-2<-->00:00:00:00:00:1e-33
18:16:16.272421000;2;0000000000000021-2<-->00:00:00:00:00:20-33
18:16:17.640822000;165;0000000000000016-3<-->00:00:00:00:00:17-32
18:16:17.142315000;38;000000000000005e-3<-->00:00:00:00:00:5f-32
18:16:17.645396000;168;0000000000000050-2<-->00:00:00:00:00:4f-33
18:16:17.557625000;137;0000000000000007-3<-->00:00:00:00:00:08-32
18:16:16.797661000;22;0000000000000031-2<-->00:00:00:00:00:30-33
18:16:17.292147000;69;0000000000000052-3<-->00:00:00:00:00:53-32
18:16:16.392970000;13;0000000000000044-2<-->00:00:00:00:00:43-33
18:16:17.557723000;138;0000000000000004-2<-->00:00:00:00:00:03-33
18:16:17.646413000;177;000000000000005c-3<-->00:00:00:00:00:5d-32
18:16:16.393171000;14;000000000000005b-3<-->00:00:00:00:00:5c-32
18:16:17.558946000;145;000000000000000d-2<-->00:00:00:00:00:0c-33
18:16:16.744706000;17;000000000000004d-3<-->00:00:00:00:00:4e-32
18:16:17.633471000;156;0000000000000058-2<-->00:00:00:00:00:57-33
18:16:17.565418000;150;0000000000000041-2<-->00:00:00:00:00:40-33
18:16:16.794421000;20;0000000000000019-2<-->00:00:00:00:00:18-33
18:16:16.859517000;25;000000000000004d-3<-->00:00:00:00:00:4e-32
18:16:17.227927000;59;000000000000002c-3<-->00:00:00:00:00:2d-32
18:16:16.339528000;9;000000000000003d-2<-->00:00:00:00:00:3c-33
18:16:17.627587000;155;000000000000004e-3<-->00:00:00:00:00:4f-32
18:16:17.146409000;44;000000000000000a-2<-->00:00:00:00:00:09-33
18:16:17.486371000;113;000000000000003a-2<-->00:00:00:00:00:39-33
18:16:17.358247000;86;0000000000000052-2<-->00:00:00:00:00:51-33
18:16:17.350392000;78;0000000000000010-3<-->00:00:00:00:00:11-32
18:16:17.645842000;172;0000000000000014-2<-->00:00:00:00:00:13-33
18:16:17.497018000;124;000000000000000b-3<-->00:00:00:00:00:0c-32
18:16:17.148045000;45;0000000000000039-3<-->00:00:00:00:00:3a-32
18:16:16.912605000;29;0000000000000035-3<-->00:00:00:00:00:36-32
